club_domicile;club_exterieur;score_domicile;score_exterieur;date;heure;groupe;saison;journee
Olympique de Marseille;Olympique Lillois;7;0;;;A;1933;1
OGC Nice;SC Nîmois;2;3;;;A;1933;1
EAC Roubaix;FC Sète 34;0;3;;;A;1933;1
RC Paris;Hyères FC;2;1;;;A;1933;1
FC Mulhouse;Club Français;2;3;;;A;1933;1
FC Metz;Stade Rennais FC;1;2;;;B;1933;1
SO Montpellier;Olympique d'Alès;2;0;;;B;1933;1
Red Star  F.C;FC Antibes;2;3;;;B;1933;1
FC Sochaux-Montbéliard;CA Paris;1;3;;;B;1933;1
SC Fives;AS Cannes;1;1;;;B;1933;1
SC Nîmois;Olympique de Marseille;1;3;;;A;1933;2
OGC Nice;FC Mulhouse;5;2;;;A;1933;2
Olympique Lillois;RC Paris;4;1;;;A;1933;2
Club Français;FC Sète 34;2;3;;;A;1933;2
Hyères FC;EAC Roubaix;3;1;;;A;1933;2
SO Montpellier;SC Fives;4;2;;;B;1933;2
Stade Rennais FC;CA Paris;3;1;;;B;1933;2
AS Cannes;Red Star  F.C;2;1;;;B;1933;2
Olympique d'Alès;FC Antibes;3;3;;;B;1933;2
FC Sochaux-Montbéliard;FC Metz;5;0;;;B;1933;2
EAC Roubaix;OGC Nice;2;2;;;A;1933;3
Olympique de Marseille;RC Paris;1;0;;;A;1933;3
FC Sète 34;SC Nîmois;1;1;;;A;1933;3
FC Mulhouse;Hyères FC;3;1;;;A;1933;3
Club Français;Olympique Lillois;1;3;;;A;1933;3
SC Fives;Olympique d'Alès;3;0;;;B;1933;3
Red Star  F.C;Stade Rennais FC;6;2;;;B;1933;3
CA Paris;SO Montpellier;2;2;;;B;1933;3
FC Antibes;FC Sochaux-Montbéliard;4;1;;;B;1933;3
FC Metz;AS Cannes;0;2;;;B;1933;3
Olympique de Marseille;FC Mulhouse;3;1;;;A;1933;4
Hyères FC;FC Sète 34;1;2;;;A;1933;4
Club Français;SC Nîmois;5;2;;;A;1933;4
RC Paris;EAC Roubaix;2;2;;;A;1933;4
OGC Nice;Olympique Lillois;2;3;;;A;1933;4
CA Paris;SC Fives;1;2;;;B;1933;4
SO Montpellier;AS Cannes;1;2;;;B;1933;4
Olympique d'Alès;FC Metz;2;3;;;B;1933;4
FC Sochaux-Montbéliard;Red Star  F.C;1;1;;;B;1933;4
FC Antibes;Stade Rennais FC;3;1;;;B;1933;4
EAC Roubaix;Club Français;4;1;;;A;1933;5
OGC Nice;Hyères FC;2;1;;;A;1933;5
FC Sète 34;Olympique de Marseille;1;1;;;A;1933;5
SC Nîmois;RC Paris;5;1;;;A;1933;5
FC Mulhouse;Olympique Lillois;1;2;;;A;1933;5
SC Fives;Stade Rennais FC;4;4;;;B;1933;5
Red Star  F.C;Olympique d'Alès;5;0;;;B;1933;5
CA Paris;FC Antibes;2;3;;;B;1933;5
FC Metz;SO Montpellier;2;1;;;B;1933;5
AS Cannes;FC Sochaux-Montbéliard;1;1;;;B;1933;5
Olympique de Marseille;OGC Nice;1;0;;;A;1933;6
SC Nîmois;EAC Roubaix;2;0;;;A;1933;6
Club Français;Hyères FC;2;2;;;A;1933;6
RC Paris;FC Mulhouse;2;1;;;A;1933;6
Olympique Lillois;FC Sète 34;4;2;;;A;1933;6
Red Star  F.C;SC Fives;0;1;;;B;1933;6
AS Cannes;CA Paris;2;2;;;B;1933;6
FC Metz;FC Antibes;3;2;;;B;1933;6
Stade Rennais FC;Olympique d'Alès;4;0;;;B;1933;6
SO Montpellier;FC Sochaux-Montbéliard;2;0;;;B;1933;6
FC Mulhouse;EAC Roubaix;6;2;;;A;1933;7
Hyères FC;Olympique de Marseille;1;1;;;A;1933;7
OGC Nice;Club Français;2;0;;;A;1933;7
RC Paris;FC Sète 34;5;3;;;A;1933;7
Olympique Lillois;SC Nîmois;4;0;;;A;1933;7
SC Fives;FC Antibes;0;5;;;B;1933;7
CA Paris;FC Metz;2;1;;;B;1933;7
SO Montpellier;Red Star  F.C;1;1;;;B;1933;7
Olympique d'Alès;FC Sochaux-Montbéliard;0;1;;;B;1933;7
Stade Rennais FC;AS Cannes;5;4;;;B;1933;7
FC Sète 34;FC Mulhouse;1;1;;;A;1933;8
Club Français;Olympique de Marseille;6;2;;;A;1933;8
OGC Nice;RC Paris;0;0;;;A;1933;8
Hyères FC;SC Nîmois;2;2;;;A;1933;8
Olympique Lillois;EAC Roubaix;2;0;;;A;1933;8
FC Metz;SC Fives;0;0;;;B;1933;8
FC Antibes;SO Montpellier;0;2;;;B;1933;8
Red Star  F.C;CA Paris;3;4;;;B;1933;8
FC Sochaux-Montbéliard;Stade Rennais FC;2;1;;;B;1933;8
Olympique d'Alès;AS Cannes;2;4;;;B;1933;8
FC Sète 34;OGC Nice;1;2;;;A;1933;9
SC Nîmois;FC Mulhouse;3;1;;;A;1933;9
Olympique de Marseille;EAC Roubaix;2;2;;;A;1933;9
RC Paris;Club Français;4;1;;;A;1933;9
Hyères FC;Olympique Lillois;0;1;;;A;1933;9
SC Fives;FC Sochaux-Montbéliard;2;2;;;B;1933;9
FC Metz;Red Star  F.C;1;7;;;B;1933;9
Stade Rennais FC;SO Montpellier;6;1;;;B;1933;9
CA Paris;Olympique d'Alès;2;1;;;B;1933;9
AS Cannes;FC Antibes;3;0;;;B;1933;9
Olympique Lillois;Olympique de Marseille;1;2;;;A;1933;10
FC Sète 34;EAC Roubaix;0;2;;;A;1933;10
Club Français;FC Mulhouse;5;0;;;A;1933;10
SC Nîmois;OGC Nice;2;0;;;A;1933;10
Hyères FC;RC Paris;1;2;;;A;1933;10
AS Cannes;SC Fives;5;5;;;B;1933;10
CA Paris;FC Sochaux-Montbéliard;3;5;;;B;1933;10
FC Antibes;Red Star  F.C;2;0;;;B;1933;10
Olympique d'Alès;SO Montpellier;2;2;;;B;1933;10
Stade Rennais FC;FC Metz;4;0;;;B;1933;10
RC Paris;Olympique Lillois;0;1;;;A;1933;11
FC Mulhouse;OGC Nice;5;2;;;A;1933;11
EAC Roubaix;Hyères FC;2;1;;;A;1933;11
Olympique de Marseille;SC Nîmois;2;0;;;A;1933;11
FC Sète 34;Club Français;3;2;;;A;1933;11
SC Fives;SO Montpellier;2;3;;;B;1933;11
CA Paris;Stade Rennais FC;3;1;;;B;1933;11
Red Star  F.C;AS Cannes;1;1;;;B;1933;11
FC Antibes;Olympique d'Alès;0;0;;;B;1933;11
FC Metz;FC Sochaux-Montbéliard;0;3;;;B;1933;11
Olympique Lillois;Club Français;5;3;;;A;1933;12
Hyères FC;FC Mulhouse;1;1;;;A;1933;12
OGC Nice;EAC Roubaix;2;2;;;A;1933;12
RC Paris;Olympique de Marseille;3;1;;;A;1933;12
SC Nîmois;FC Sète 34;1;3;;;A;1933;12
Olympique d'Alès;SC Fives;7;4;;;B;1933;12
Stade Rennais FC;Red Star  F.C;3;1;;;B;1933;12
SO Montpellier;CA Paris;3;4;;;B;1933;12
FC Sochaux-Montbéliard;FC Antibes;1;3;;;B;1933;12
AS Cannes;FC Metz;0;1;;;B;1933;12
Olympique Lillois;OGC Nice;3;0;;;A;1933;13
FC Mulhouse;Olympique de Marseille;1;4;;;A;1933;13
FC Sète 34;Hyères FC;1;0;;;A;1933;13
SC Nîmois;Club Français;3;1;;;A;1933;13
EAC Roubaix;RC Paris;1;1;;;A;1933;13
SC Fives;CA Paris;0;2;;;B;1933;13
AS Cannes;SO Montpellier;3;0;;;B;1933;13
FC Metz;Olympique d'Alès;4;0;;;B;1933;13
Red Star  F.C;FC Sochaux-Montbéliard;0;1;;;B;1933;13
Stade Rennais FC;FC Antibes;0;0;;;B;1933;13
Olympique Lillois;FC Mulhouse;2;0;;;A;1933;14
Club Français;EAC Roubaix;2;2;;;A;1933;14
Hyères FC;OGC Nice;1;0;;;A;1933;14
Olympique de Marseille;FC Sète 34;3;1;;;A;1933;14
RC Paris;SC Nîmois;3;1;;;A;1933;14
Stade Rennais FC;SC Fives;0;1;;;B;1933;14
Olympique d'Alès;Red Star  F.C;0;0;;;B;1933;14
FC Antibes;CA Paris;3;0;;;B;1933;14
SO Montpellier;FC Metz;7;3;;;B;1933;14
FC Sochaux-Montbéliard;AS Cannes;2;1;;;B;1933;14
FC Sète 34;Olympique Lillois;1;0;;;A;1933;15
OGC Nice;Olympique de Marseille;1;0;;;A;1933;15
EAC Roubaix;SC Nîmois;4;4;;;A;1933;15
Hyères FC;Club Français;3;1;;;A;1933;15
FC Mulhouse;RC Paris;3;5;;;A;1933;15
SC Fives;Red Star  F.C;3;2;;;B;1933;15
CA Paris;AS Cannes;1;1;;;B;1933;15
FC Antibes;FC Metz;1;1;;;B;1933;15
Olympique d'Alès;Stade Rennais FC;4;4;;;B;1933;15
FC Sochaux-Montbéliard;SO Montpellier;2;3;;;B;1933;15
SC Nîmois;Olympique Lillois;0;3;;;A;1933;16
EAC Roubaix;FC Mulhouse;2;2;;;A;1933;16
Olympique de Marseille;Hyères FC;1;2;;;A;1933;16
Club Français;OGC Nice;2;0;;;A;1933;16
FC Sète 34;RC Paris;3;2;;;A;1933;16
FC Antibes;SC Fives;5;0;;;B;1933;16
FC Metz;CA Paris;2;3;;;B;1933;16
Red Star  F.C;SO Montpellier;4;0;;;B;1933;16
FC Sochaux-Montbéliard;Olympique d'Alès;5;2;;;B;1933;16
AS Cannes;Stade Rennais FC;3;0;;;B;1933;16
EAC Roubaix;Olympique Lillois;2;1;;;A;1933;17
FC Mulhouse;FC Sète 34;3;1;;;A;1933;17
Olympique de Marseille;Club Français;5;1;;;A;1933;17
RC Paris;OGC Nice;2;2;;;A;1933;17
SC Nîmois;Hyères FC;3;0;;;A;1933;17
SC Fives;FC Metz;8;1;;;B;1933;17
SO Montpellier;FC Antibes;2;1;;;B;1933;17
CA Paris;Red Star  F.C;2;2;;;B;1933;17
Stade Rennais FC;FC Sochaux-Montbéliard;1;1;;;B;1933;17
AS Cannes;Olympique d'Alès;2;0;;;B;1933;17
Olympique Lillois;Hyères FC;2;1;;;A;1933;18
OGC Nice;FC Sète 34;2;2;;;A;1933;18
FC Mulhouse;SC Nîmois;3;4;;;A;1933;18
EAC Roubaix;Olympique de Marseille;2;1;;;A;1933;18
Club Français;RC Paris;5;5;;;A;1933;18
FC Sochaux-Montbéliard;SC Fives;6;4;;;B;1933;18
Red Star  F.C;FC Metz;2;2;;;B;1933;18
SO Montpellier;Stade Rennais FC;1;0;;;B;1933;18
Olympique d'Alès;CA Paris;2;1;;;B;1933;18
FC Antibes;AS Cannes;1;0;;;B;1933;18
CA Paris;AS Cannes;5;1;;;;1934;1
SC Fives;FC Sète 34;4;2;;;;1934;1
Olympique de Marseille;OGC Nice;4;0;;;;1934;1
SC Nîmois;Olympique Lillois;3;3;;;;1934;1
FC Antibes;Stade Rennais FC;1;1;;;;1934;1
SO Montpellier;RC Paris;1;0;;;;1934;1
EAC Roubaix;FC Sochaux-Montbéliard;2;1;;;;1934;1
FC Sète 34;CA Paris;6;2;;;;1934;2
OGC Nice;EAC Roubaix;3;3;;;;1934;2
RC Paris;Olympique Lillois;1;0;;;;1934;2
AS Cannes;Olympique de Marseille;1;1;;;;1934;2
SC Fives;SC Nîmois;5;2;;;;1934;2
Stade Rennais FC;SO Montpellier;2;6;;;;1934;2
FC Sochaux-Montbéliard;FC Antibes;6;4;;;;1934;2
FC Antibes;OGC Nice;3;2;;;;1934;3
SO Montpellier;FC Sochaux-Montbéliard;3;2;;;;1934;3
Olympique de Marseille;FC Sète 34;3;3;;;;1934;3
Olympique Lillois;Stade Rennais FC;5;4;;;;1934;3
EAC Roubaix;AS Cannes;3;1;;;;1934;3
SC Nîmois;RC Paris;3;1;;;;1934;3
CA Paris;SC Fives;0;1;;;;1934;3
FC Sète 34;EAC Roubaix;4;2;;;;1934;4
AS Cannes;FC Antibes;1;0;;;;1934;4
Stade Rennais FC;RC Paris;2;1;;;;1934;4
CA Paris;SC Nîmois;7;0;;;;1934;4
SC Fives;Olympique de Marseille;2;3;;;;1934;4
FC Sochaux-Montbéliard;Olympique Lillois;3;5;;;;1934;4
OGC Nice;SO Montpellier;1;1;;;;1934;4
OGC Nice;CA Paris;5;2;;;;1934;5
Stade Rennais FC;EAC Roubaix;5;2;;;;1934;5
RC Paris;FC Antibes;5;2;;;;1934;5
FC Sochaux-Montbéliard;Olympique de Marseille;4;1;;;;1934;5
AS Cannes;SC Fives;0;0;;;;1934;5
FC Sète 34;SC Nîmois;8;2;;;;1934;5
Olympique Lillois;SO Montpellier;6;2;;;;1934;5
FC Sète 34;AS Cannes;4;0;;;;1934;6
CA Paris;FC Sochaux-Montbéliard;4;6;;;;1934;6
FC Antibes;Olympique Lillois;3;1;;;;1934;6
EAC Roubaix;RC Paris;3;6;;;;1934;6
Olympique de Marseille;Stade Rennais FC;7;1;;;;1934;6
SC Nîmois;SO Montpellier;2;0;;;;1934;6
SC Fives;OGC Nice;5;2;;;;1934;6
OGC Nice;FC Sète 34;1;4;;;;1934;7
Stade Rennais FC;CA Paris;8;2;;;;1934;7
Olympique Lillois;EAC Roubaix;4;2;;;;1934;7
SO Montpellier;FC Antibes;3;2;;;;1934;7
AS Cannes;SC Nîmois;1;1;;;;1934;7
RC Paris;Olympique de Marseille;0;1;;;;1934;7
FC Sochaux-Montbéliard;SC Fives;1;3;;;;1934;7
FC Sète 34;FC Sochaux-Montbéliard;3;1;;;;1934;8
SC Nîmois;FC Antibes;5;0;;;;1934;8
AS Cannes;OGC Nice;2;2;;;;1934;8
CA Paris;RC Paris;1;4;;;;1934;8
EAC Roubaix;SO Montpellier;3;2;;;;1934;8
Olympique de Marseille;Olympique Lillois;1;3;;;;1934;8
SC Fives;Stade Rennais FC;5;0;;;;1934;8
OGC Nice;SC Nîmois;1;2;;;;1934;9
FC Sochaux-Montbéliard;AS Cannes;3;3;;;;1934;9
Olympique Lillois;CA Paris;4;1;;;;1934;9
Stade Rennais FC;FC Sète 34;4;4;;;;1934;9
RC Paris;SC Fives;1;0;;;;1934;9
SO Montpellier;Olympique de Marseille;3;3;;;;1934;9
FC Antibes;EAC Roubaix;2;1;;;;1934;9
SC Nîmois;EAC Roubaix;3;0;;;;1934;10
Olympique de Marseille;FC Antibes;3;2;;;;1934;10
SC Fives;Olympique Lillois;3;0;;;;1934;10
AS Cannes;Stade Rennais FC;0;2;;;;1934;10
FC Sète 34;RC Paris;2;1;;;;1934;10
OGC Nice;FC Sochaux-Montbéliard;2;1;;;;1934;10
CA Paris;SO Montpellier;1;4;;;;1934;10
RC Paris;AS Cannes;5;1;;;;1934;11
Olympique Lillois;FC Sète 34;6;0;;;;1934;11
SO Montpellier;SC Fives;4;1;;;;1934;11
FC Sochaux-Montbéliard;SC Nîmois;6;3;;;;1934;11
EAC Roubaix;Olympique de Marseille;4;3;;;;1934;11
Stade Rennais FC;OGC Nice;2;1;;;;1934;11
FC Antibes;CA Paris;3;1;;;;1934;11
CA Paris;EAC Roubaix;3;6;;;;1934;12
AS Cannes;Olympique Lillois;2;0;;;;1934;12
SC Nîmois;Olympique de Marseille;0;2;;;;1934;12
OGC Nice;RC Paris;2;0;;;;1934;12
FC Sochaux-Montbéliard;Stade Rennais FC;6;2;;;;1934;12
SC Fives;FC Antibes;0;0;;;;1934;12
FC Sète 34;SO Montpellier;1;1;;;;1934;12
SO Montpellier;AS Cannes;0;0;;;;1934;13
FC Antibes;FC Sète 34;3;0;;;;1934;13
Olympique de Marseille;CA Paris;3;1;;;;1934;13
Stade Rennais FC;SC Nîmois;6;2;;;;1934;13
Olympique Lillois;OGC Nice;3;0;;;;1934;13
RC Paris;FC Sochaux-Montbéliard;0;2;;;;1934;13
EAC Roubaix;SC Fives;1;1;;;;1934;13
AS Cannes;CA Paris;3;1;;;;1934;14
Stade Rennais FC;FC Antibes;2;2;;;;1934;14
OGC Nice;Olympique de Marseille;0;3;;;;1934;14
FC Sète 34;SC Fives;2;2;;;;1934;14
Olympique Lillois;SC Nîmois;3;1;;;;1934;14
RC Paris;SO Montpellier;3;0;;;;1934;14
FC Sochaux-Montbéliard;EAC Roubaix;1;2;;;;1934;14
FC Antibes;FC Sochaux-Montbéliard;3;1;;;;1934;15
CA Paris;FC Sète 34;2;3;;;;1934;15
Olympique Lillois;RC Paris;0;0;;;;1934;15
SO Montpellier;Stade Rennais FC;1;2;;;;1934;15
Olympique de Marseille;AS Cannes;4;0;;;;1934;15
SC Nîmois;SC Fives;3;4;;;;1934;15
EAC Roubaix;OGC Nice;3;1;;;;1934;15
AS Cannes;EAC Roubaix;1;0;;;;1934;16
SC Fives;CA Paris;2;0;;;;1934;16
Stade Rennais FC;Olympique Lillois;1;5;;;;1934;16
FC Sochaux-Montbéliard;SO Montpellier;0;0;;;;1934;16
OGC Nice;FC Antibes;1;1;;;;1934;16
FC Sète 34;Olympique de Marseille;1;0;;;;1934;16
RC Paris;SC Nîmois;1;1;;;;1934;16
SC Nîmois;CA Paris;5;1;;;;1934;17
Olympique Lillois;FC Sochaux-Montbéliard;2;2;;;;1934;17
RC Paris;Stade Rennais FC;2;3;;;;1934;17
SO Montpellier;OGC Nice;3;1;;;;1934;17
Olympique de Marseille;SC Fives;2;1;;;;1934;17
FC Antibes;AS Cannes;4;1;;;;1934;17
EAC Roubaix;FC Sète 34;3;3;;;;1934;17
SC Fives;AS Cannes;1;2;;;;1934;18
SC Nîmois;FC Sète 34;0;2;;;;1934;18
FC Antibes;RC Paris;1;0;;;;1934;18
SO Montpellier;Olympique Lillois;2;1;;;;1934;18
EAC Roubaix;Stade Rennais FC;4;2;;;;1934;18
CA Paris;OGC Nice;6;1;;;;1934;18
Olympique de Marseille;FC Sochaux-Montbéliard;4;0;;;;1934;18
FC Sochaux-Montbéliard;CA Paris;2;3;;;;1934;19
AS Cannes;FC Sète 34;4;1;;;;1934;19
SO Montpellier;SC Nîmois;2;4;;;;1934;19
RC Paris;EAC Roubaix;3;3;;;;1934;19
Olympique Lillois;FC Antibes;4;0;;;;1934;19
Stade Rennais FC;Olympique de Marseille;1;0;;;;1934;19
OGC Nice;SC Fives;0;0;;;;1934;19
SC Nîmois;AS Cannes;4;1;;;;1934;20
SC Fives;FC Sochaux-Montbéliard;3;0;;;;1934;20
EAC Roubaix;Olympique Lillois;2;0;;;;1934;20
Olympique de Marseille;RC Paris;4;1;;;;1934;20
FC Sète 34;OGC Nice;4;0;;;;1934;20
FC Antibes;SO Montpellier;3;3;;;;1934;20
CA Paris;Stade Rennais FC;3;6;;;;1934;20
OGC Nice;AS Cannes;3;1;;;;1934;21
FC Sochaux-Montbéliard;FC Sète 34;3;2;;;;1934;21
FC Antibes;SC Nîmois;4;2;;;;1934;21
Olympique Lillois;Olympique de Marseille;6;1;;;;1934;21
RC Paris;CA Paris;4;1;;;;1934;21
SO Montpellier;EAC Roubaix;2;6;;;;1934;21
Stade Rennais FC;SC Fives;1;0;;;;1934;21
EAC Roubaix;FC Antibes;2;3;;;;1934;22
AS Cannes;FC Sochaux-Montbéliard;4;0;;;;1934;22
CA Paris;Olympique Lillois;0;3;;;;1934;22
FC Sète 34;Stade Rennais FC;3;1;;;;1934;22
Olympique de Marseille;SO Montpellier;3;1;;;;1934;22
SC Nîmois;OGC Nice;5;2;;;;1934;22
SC Fives;RC Paris;3;3;;;;1934;22
Stade Rennais FC;AS Cannes;2;2;;;;1934;23
FC Antibes;Olympique de Marseille;1;3;;;;1934;23
SO Montpellier;CA Paris;3;2;;;;1934;23
FC Sochaux-Montbéliard;OGC Nice;3;1;;;;1934;23
RC Paris;FC Sète 34;1;1;;;;1934;23
Olympique Lillois;SC Fives;1;1;;;;1934;23
EAC Roubaix;SC Nîmois;1;0;;;;1934;23
CA Paris;FC Antibes;1;3;;;;1934;24
FC Sète 34;Olympique Lillois;1;0;;;;1934;24
AS Cannes;RC Paris;6;2;;;;1934;24
Olympique de Marseille;EAC Roubaix;2;4;;;;1934;24
SC Nîmois;FC Sochaux-Montbéliard;7;1;;;;1934;24
OGC Nice;Stade Rennais FC;4;2;;;;1934;24
SC Fives;SO Montpellier;2;1;;;;1934;24
EAC Roubaix;CA Paris;3;2;;;;1934;25
Olympique Lillois;AS Cannes;3;1;;;;1934;25
Stade Rennais FC;FC Sochaux-Montbéliard;2;2;;;;1934;25
SO Montpellier;FC Sète 34;4;1;;;;1934;25
RC Paris;OGC Nice;4;3;;;;1934;25
Olympique de Marseille;SC Nîmois;7;3;;;;1934;25
FC Antibes;SC Fives;0;7;;;;1934;25
SC Fives;EAC Roubaix;1;0;;;;1934;26
CA Paris;Olympique de Marseille;3;1;;;;1934;26
OGC Nice;Olympique Lillois;3;2;;;;1934;26
FC Sochaux-Montbéliard;RC Paris;3;2;;;;1934;26
SC Nîmois;Stade Rennais FC;5;3;;;;1934;26
AS Cannes;SO Montpellier;3;1;;;;1934;26
FC Sète 34;FC Antibes;4;2;;;;1934;26
FC Sochaux-Montbéliard;EAC Roubaix;0;2;;;;1935;1
Olympique Lillois;AS Cannes;0;0;;;;1935;1
FC Mulhouse;SC Nîmois;6;0;;;;1935;1
FC Antibes;SC Fives;2;3;;;;1935;1
Olympique d'Alès;Olympique de Marseille;1;0;;;;1935;1
Red Star  F.C;Stade Rennais FC;2;1;;;;1935;1
RC Strasbourg;FC Sète 34;5;2;;;;1935;1
SO Montpellier;RC Paris;3;3;;;;1935;1
FC Sochaux-Montbéliard;Stade Rennais FC;2;1;;;;1935;2
FC Mulhouse;Olympique de Marseille;3;4;;;;1935;2
Olympique Lillois;FC Sète 34;2;0;;;;1935;2
FC Antibes;Red Star  F.C;1;1;;;;1935;2
RC Paris;EAC Roubaix;3;1;;;;1935;2
Olympique d'Alès;SC Nîmois;2;4;;;;1935;2
RC Strasbourg;AS Cannes;1;1;;;;1935;2
SO Montpellier;SC Fives;2;0;;;;1935;2
EAC Roubaix;RC Strasbourg;1;2;;;;1935;3
RC Paris;Olympique d'Alès;6;3;;;;1935;3
FC Sète 34;Red Star  F.C;2;2;;;;1935;3
SC Nîmois;SO Montpellier;4;5;;;;1935;3
AS Cannes;FC Sochaux-Montbéliard;0;2;;;;1935;3
SC Fives;FC Mulhouse;0;2;;;;1935;3
Stade Rennais FC;Olympique Lillois;4;0;;;;1935;3
Olympique de Marseille;FC Antibes;7;2;;;;1935;3
SC Nîmois;FC Antibes;3;1;;;;1935;4
Olympique de Marseille;SO Montpellier;4;1;;;;1935;4
Stade Rennais FC;RC Strasbourg;0;2;;;;1935;4
SC Fives;Olympique d'Alès;1;0;;;;1935;4
AS Cannes;Red Star  F.C;6;2;;;;1935;4
EAC Roubaix;Olympique Lillois;2;1;;;;1935;4
RC Paris;FC Mulhouse;2;3;;;;1935;4
FC Sète 34;FC Sochaux-Montbéliard;1;1;;;;1935;4
FC Sochaux-Montbéliard;SC Fives;2;1;;;;1935;5
FC Mulhouse;Stade Rennais FC;2;2;;;;1935;5
Olympique Lillois;Olympique de Marseille;5;0;;;;1935;5
FC Antibes;FC Sète 34;1;0;;;;1935;5
Red Star  F.C;RC Paris;1;2;;;;1935;5
Olympique d'Alès;EAC Roubaix;0;3;;;;1935;5
RC Strasbourg;SC Nîmois;3;0;;;;1935;5
SO Montpellier;AS Cannes;2;3;;;;1935;5
FC Sochaux-Montbéliard;SC Nîmois;1;0;;;;1935;6
Olympique d'Alès;FC Sète 34;3;0;;;;1935;6
RC Paris;RC Strasbourg;2;2;;;;1935;6
SO Montpellier;EAC Roubaix;0;2;;;;1935;6
AS Cannes;FC Mulhouse;5;0;;;;1935;6
SC Fives;Olympique Lillois;2;1;;;;1935;6
Stade Rennais FC;FC Antibes;4;1;;;;1935;6
Olympique de Marseille;Red Star  F.C;4;3;;;;1935;6
FC Sochaux-Montbéliard;Red Star  F.C;4;3;;;;1935;7
FC Mulhouse;Olympique d'Alès;2;0;;;;1935;7
Olympique Lillois;RC Strasbourg;2;1;;;;1935;7
FC Antibes;SO Montpellier;4;0;;;;1935;7
Stade Rennais FC;EAC Roubaix;0;1;;;;1935;7
SC Nîmois;Olympique de Marseille;1;1;;;;1935;7
FC Sète 34;AS Cannes;1;1;;;;1935;7
RC Paris;SC Fives;7;0;;;;1935;7
SO Montpellier;FC Sochaux-Montbéliard;0;4;;;;1935;8
Red Star  F.C;FC Mulhouse;3;1;;;;1935;8
Olympique d'Alès;Olympique Lillois;3;1;;;;1935;8
RC Strasbourg;FC Antibes;6;1;;;;1935;8
SC Fives;Stade Rennais FC;4;1;;;;1935;8
EAC Roubaix;Olympique de Marseille;0;3;;;;1935;8
SC Nîmois;FC Sète 34;1;3;;;;1935;8
AS Cannes;RC Paris;0;2;;;;1935;8
FC Sochaux-Montbéliard;RC Paris;3;1;;;;1935;9
EAC Roubaix;FC Mulhouse;1;2;;;;1935;9
Olympique Lillois;SC Nîmois;3;1;;;;1935;9
AS Cannes;FC Antibes;3;1;;;;1935;9
Red Star  F.C;SC Fives;5;2;;;;1935;9
Stade Rennais FC;Olympique d'Alès;6;0;;;;1935;9
Olympique de Marseille;RC Strasbourg;1;1;;;;1935;9
SO Montpellier;FC Sète 34;0;2;;;;1935;9
FC Sochaux-Montbéliard;RC Strasbourg;2;3;;;;1935;10
Olympique Lillois;Red Star  F.C;0;4;;;;1935;10
Stade Rennais FC;AS Cannes;3;0;;;;1935;10
FC Sète 34;EAC Roubaix;2;2;;;;1935;10
FC Mulhouse;SO Montpellier;4;1;;;;1935;10
FC Antibes;Olympique d'Alès;1;0;;;;1935;10
Olympique de Marseille;SC Fives;5;1;;;;1935;10
RC Paris;SC Nîmois;2;0;;;;1935;10
RC Strasbourg;FC Mulhouse;4;2;;;;1935;11
Olympique d'Alès;FC Sochaux-Montbéliard;0;5;;;;1935;11
SO Montpellier;Olympique Lillois;1;3;;;;1935;11
RC Paris;FC Antibes;5;1;;;;1935;11
SC Nîmois;Stade Rennais FC;1;2;;;;1935;11
AS Cannes;Olympique de Marseille;3;0;;;;1935;11
SC Fives;FC Sète 34;1;2;;;;1935;11
EAC Roubaix;Red Star  F.C;2;0;;;;1935;11
FC Sochaux-Montbéliard;FC Mulhouse;8;0;;;;1935;12
Olympique Lillois;FC Antibes;10;0;;;;1935;12
Red Star  F.C;Olympique d'Alès;3;1;;;;1935;12
RC Strasbourg;SO Montpellier;2;1;;;;1935;12
AS Cannes;SC Fives;2;0;;;;1935;12
SC Nîmois;EAC Roubaix;1;1;;;;1935;12
Stade Rennais FC;Olympique de Marseille;1;1;;;;1935;12
FC Sète 34;RC Paris;2;2;;;;1935;12
FC Antibes;FC Sochaux-Montbéliard;1;1;;;;1935;13
FC Mulhouse;Olympique Lillois;1;0;;;;1935;13
SO Montpellier;Red Star  F.C;0;3;;;;1935;13
Olympique d'Alès;RC Strasbourg;1;5;;;;1935;13
SC Fives;EAC Roubaix;0;0;;;;1935;13
SC Nîmois;AS Cannes;1;2;;;;1935;13
RC Paris;Stade Rennais FC;2;1;;;;1935;13
Olympique de Marseille;FC Sète 34;1;1;;;;1935;13
FC Sochaux-Montbéliard;Olympique Lillois;5;2;;;;1935;14
FC Antibes;FC Mulhouse;1;1;;;;1935;14
RC Strasbourg;Red Star  F.C;5;2;;;;1935;14
EAC Roubaix;AS Cannes;2;0;;;;1935;14
FC Sète 34;Stade Rennais FC;2;0;;;;1935;14
RC Paris;Olympique de Marseille;5;1;;;;1935;14
SC Fives;SC Nîmois;3;1;;;;1935;14
Olympique d'Alès;SO Montpellier;1;1;;;;1935;14
Olympique d'Alès;AS Cannes;5;1;;;;1935;15
Red Star  F.C;SC Nîmois;2;2;;;;1935;15
SO Montpellier;Stade Rennais FC;4;1;;;;1935;15
RC Strasbourg;SC Fives;2;1;;;;1935;15
FC Antibes;EAC Roubaix;4;2;;;;1935;15
Olympique Lillois;RC Paris;0;0;;;;1935;15
FC Mulhouse;FC Sète 34;1;1;;;;1935;15
