club_domicile;club_exterieur;score_domicile;score_exterieur;date;heure;groupe;saison;journee
Nîmes Olympique;Valenciennes FC;0;1;09/02/1947;;;1947;24
Clermont Foot;Olympique d'Alès;1;0;09/02/1947;;;1947;24
FC Sochaux-Montbéliard;Besançon RC;4;3;09/02/1947;;;1947;24
FC Antibes;FC Nantes;2;3;09/02/1947;;;1947;24
Angers SCO;Troyes ASTS;3;0;09/02/1947;;;1947;24
AS Béziers;SA Douai;2;0;09/02/1947;;;1947;24
Lyon OU;SR Colmar;7;0;09/02/1947;;;1947;24
Angoulême;SC Toulon;2;0;09/02/1947;;;1947;24
SC Toulon;AS Béziers;0;1;16/02/1947;;;1947;25
SR Colmar;Angers SCO;1;0;16/02/1947;;;1947;25
Perpignan FC;FC Antibes;3;1;16/02/1947;;;1947;25
Troyes ASTS;FC Sochaux-Montbéliard;1;3;16/02/1947;;;1947;25
FC Nantes;Clermont Foot;3;1;16/02/1947;;;1947;25
FC Avignon;Nîmes Olympique;3;2;16/02/1947;;;1947;25
Besançon RC;CA Paris;4;1;16/02/1947;;;1947;25
Olympique d'Alès;OGC Nice;5;3;16/02/1947;;;1947;25
Valenciennes FC;Angoulême;0;0;16/02/1947;;;1947;25
Amiens SC;Lyon OU;0;3;16/02/1947;;;1947;25
FC Avignon;AS Béziers;4;1;18/02/1947;;;1947;26
Besançon RC;Angers SCO;2;0;18/02/1947;;;1947;26
Olympique d'Alès;FC Antibes;6;0;18/02/1947;;;1947;26
Amiens SC;FC Sochaux-Montbéliard;2;1;18/02/1947;;;1947;26
Le Mans FC;Clermont Foot;0;1;18/02/1947;;;1947;26
SC Toulon;Nîmes Olympique;0;0;18/02/1947;;;1947;26
SR Colmar;CA Paris;4;2;18/02/1947;;;1947;26
Perpignan FC;OGC Nice;0;1;18/02/1947;;;1947;26
SA Douai;Angoulême;1;5;18/02/1947;;;1947;26
Troyes ASTS;Lyon OU;2;0;18/02/1947;;;1947;26
AS Béziers;Valenciennes FC;1;3;23/02/1947;;;1947;27
Lyon OU;Besançon RC;1;0;23/02/1947;;;1947;27
Angoulême;FC Avignon;8;2;23/02/1947;;;1947;27
Nîmes Olympique;SA Douai;2;2;23/02/1947;;;1947;27
Clermont Foot;Perpignan FC;0;1;23/02/1947;;;1947;27
FC Sochaux-Montbéliard;SR Colmar;6;1;23/02/1947;;;1947;27
FC Antibes;Le Mans FC;0;1;23/02/1947;;;1947;27
Angers SCO;Amiens SC;2;0;23/02/1947;;;1947;27
CA Paris;Troyes ASTS;0;0;23/02/1947;;;1947;27
FC Nantes;OGC Nice;1;0;23/02/1947;;;1947;27
FC Nantes;Besançon RC;2;0;02/03/1947;;;1947;28
Olympique d'Alès;Troyes ASTS;6;0;02/03/1947;;;1947;28
SC Toulon;SA Douai;0;2;02/03/1947;;;1947;28
Amiens SC;Perpignan FC;5;1;02/03/1947;;;1947;28
AS Béziers;FC Antibes;6;1;02/03/1947;;;1947;28
OGC Nice;Nîmes Olympique;1;0;02/03/1947;;;1947;28
SR Colmar;Le Mans FC;3;4;20/03/1947;;;1947;28
FC Sochaux-Montbéliard;Angers SCO;0;2;10/04/1947;;;1947;28
CA Paris;Lyon OU;2;1;13/04/1947;;;1947;28
Valenciennes FC;FC Avignon;2;0;17/04/1947;;;1947;28
Clermont Foot;Angoulême;3;3;11/05/1947;;;1947;28
Troyes ASTS;Valenciennes FC;0;3;09/03/1947;;;1947;29
Besançon RC;Olympique d'Alès;1;3;09/03/1947;;;1947;29
FC Avignon;FC Nantes;1;1;09/03/1947;;;1947;29
Perpignan FC;SR Colmar;4;2;09/03/1947;;;1947;29
Le Mans FC;SC Toulon;2;1;09/03/1947;;;1947;29
SA Douai;Amiens SC;1;3;09/03/1947;;;1947;29
Angers SCO;AS Béziers;1;0;09/03/1947;;;1947;29
Lyon OU;Clermont Foot;3;0;09/03/1947;;;1947;29
Nîmes Olympique;CA Paris;4;2;09/03/1947;;;1947;29
OGC Nice;Angoulême;0;2;09/03/1947;;;1947;29
OGC Nice;Valenciennes FC;1;3;13/03/1947;;;1947;30
CA Paris;Olympique d'Alès;2;2;13/03/1947;;;1947;30
Nîmes Olympique;Besançon RC;2;0;13/03/1947;;;1947;30
Clermont Foot;FC Avignon;4;0;13/03/1947;;;1947;30
FC Sochaux-Montbéliard;FC Nantes;9;0;13/03/1947;;;1947;30
FC Antibes;SA Douai;2;0;13/03/1947;;;1947;30
Angers SCO;Perpignan FC;7;1;13/03/1947;;;1947;30
AS Béziers;SR Colmar;1;1;13/03/1947;;;1947;30
Lyon OU;Le Mans FC;3;0;13/03/1947;;;1947;30
Angoulême;Amiens SC;2;0;13/03/1947;;;1947;30
FC Antibes;Valenciennes FC;0;1;16/03/1947;;;1947;31
Angers SCO;Olympique d'Alès;3;4;16/03/1947;;;1947;31
AS Béziers;Besançon RC;1;1;16/03/1947;;;1947;31
Lyon OU;FC Nantes;1;1;16/03/1947;;;1947;31
Angoulême;Troyes ASTS;3;0;16/03/1947;;;1947;31
OGC Nice;SA Douai;1;1;16/03/1947;;;1947;31
CA Paris;Perpignan FC;2;0;16/03/1947;;;1947;31
Nîmes Olympique;SR Colmar;1;3;16/03/1947;;;1947;31
Clermont Foot;SC Toulon;4;1;16/03/1947;;;1947;31
FC Sochaux-Montbéliard;Le Mans FC;2;1;16/03/1947;;;1947;31
Besançon RC;FC Avignon;0;2;23/03/1947;;;1947;32
FC Nantes;Troyes ASTS;0;0;23/03/1947;;;1947;32
Perpignan FC;SA Douai;2;2;23/03/1947;;;1947;32
SR Colmar;SC Toulon;1;0;23/03/1947;;;1947;32
Le Mans FC;Amiens SC;4;2;23/03/1947;;;1947;32
Nîmes Olympique;Clermont Foot;1;3;23/03/1947;;;1947;32
OGC Nice;CA Paris;3;1;23/03/1947;;;1947;32
Angoulême;Lyon OU;1;1;23/03/1947;;;1947;32
Angers SCO;FC Antibes;8;2;30/03/1947;;;1947;32
Olympique d'Alès;Valenciennes FC;1;1;10/04/1947;;;1947;32
FC Avignon;Olympique d'Alès;1;3;30/03/1947;;;1947;33
Troyes ASTS;Besançon RC;1;1;30/03/1947;;;1947;33
Valenciennes FC;FC Nantes;2;0;30/03/1947;;;1947;33
SC Toulon;Perpignan FC;2;0;30/03/1947;;;1947;33
Amiens SC;SR Colmar;4;1;30/03/1947;;;1947;33
SA Douai;Le Mans FC;4;0;30/03/1947;;;1947;33
AS Béziers;FC Sochaux-Montbéliard;2;3;30/03/1947;;;1947;33
Lyon OU;Nîmes Olympique;1;1;30/03/1947;;;1947;33
Clermont Foot;OGC Nice;1;0;30/03/1947;;;1947;33
CA Paris;Angoulême;1;2;10/04/1947;;;1947;33
Perpignan FC;AS Béziers;0;4;03/04/1947;;;1947;34
SA Douai;Angers SCO;1;3;03/04/1947;;;1947;34
Troyes ASTS;FC Antibes;3;0;03/04/1947;;;1947;34
FC Avignon;FC Sochaux-Montbéliard;0;3;03/04/1947;;;1947;34
Besançon RC;Clermont Foot;0;2;03/04/1947;;;1947;34
Olympique d'Alès;Nîmes Olympique;4;2;03/04/1947;;;1947;34
Valenciennes FC;CA Paris;1;0;03/04/1947;;;1947;34
Amiens SC;OGC Nice;1;0;03/04/1947;;;1947;34
Le Mans FC;Angoulême;2;8;03/04/1947;;;1947;34
SC Toulon;Lyon OU;1;3;03/04/1947;;;1947;34
Olympique d'Alès;AS Béziers;2;0;06/04/1947;;;1947;35
Amiens SC;FC Antibes;6;2;06/04/1947;;;1947;35
SC Toulon;FC Sochaux-Montbéliard;1;1;06/04/1947;;;1947;35
SR Colmar;Clermont Foot;6;1;06/04/1947;;;1947;35
Perpignan FC;Nîmes Olympique;1;2;06/04/1947;;;1947;35
SA Douai;CA Paris;3;0;06/04/1947;;;1947;35
Troyes ASTS;OGC Nice;2;2;06/04/1947;;;1947;35
FC Nantes;Angoulême;3;4;06/04/1947;;;1947;35
FC Avignon;Lyon OU;2;1;06/04/1947;;;1947;35
Valenciennes FC;Angers SCO;0;2;24/04/1947;;;1947;35
Amiens SC;Valenciennes FC;1;2;20/04/1947;;;1947;36
Le Mans FC;Olympique d'Alès;0;2;20/04/1947;;;1947;36
Perpignan FC;Besançon RC;3;1;20/04/1947;;;1947;36
SA Douai;FC Avignon;1;0;20/04/1947;;;1947;36
SC Toulon;FC Nantes;0;2;20/04/1947;;;1947;36
SR Colmar;Troyes ASTS;2;0;20/04/1947;;;1947;36
Angoulême;AS Béziers;1;1;20/04/1947;;;1947;36
Clermont Foot;FC Antibes;4;0;20/04/1947;;;1947;36
CA Paris;FC Sochaux-Montbéliard;2;2;20/04/1947;;;1947;36
Nîmes Olympique;Angers SCO;1;2;20/04/1947;;;1947;36
Besançon RC;SA Douai;0;0;27/04/1947;;;1947;37
FC Avignon;Perpignan FC;5;1;27/04/1947;;;1947;37
FC Nantes;SR Colmar;1;2;27/04/1947;;;1947;37
Troyes ASTS;SC Toulon;0;0;27/04/1947;;;1947;37
Valenciennes FC;Le Mans FC;0;0;27/04/1947;;;1947;37
Olympique d'Alès;Amiens SC;3;1;27/04/1947;;;1947;37
Angers SCO;Clermont Foot;5;2;27/04/1947;;;1947;37
FC Antibes;Nîmes Olympique;1;3;27/04/1947;;;1947;37
FC Sochaux-Montbéliard;OGC Nice;3;0;27/04/1947;;;1947;37
AS Béziers;Lyon OU;1;1;27/04/1947;;;1947;37
Lyon OU;Valenciennes FC;3;1;01/05/1947;;;1947;38
Angoulême;Olympique d'Alès;1;2;01/05/1947;;;1947;38
OGC Nice;Besançon RC;2;0;01/05/1947;;;1947;38
CA Paris;FC Avignon;3;2;01/05/1947;;;1947;38
Nîmes Olympique;FC Nantes;1;2;01/05/1947;;;1947;38
Clermont Foot;Troyes ASTS;0;0;01/05/1947;;;1947;38
FC Sochaux-Montbéliard;SA Douai;1;1;01/05/1947;;;1947;38
FC Antibes;SR Colmar;1;2;01/05/1947;;;1947;38
Angers SCO;SC Toulon;1;1;01/05/1947;;;1947;38
AS Béziers;Le Mans FC;2;0;01/05/1947;;;1947;38
FC Sochaux-Montbéliard;Valenciennes FC;2;0;04/05/1947;;;1947;39
FC Antibes;Besançon RC;1;0;04/05/1947;;;1947;39
Angers SCO;FC Avignon;5;2;04/05/1947;;;1947;39
Lyon OU;SA Douai;1;0;04/05/1947;;;1947;39
Angoulême;Perpignan FC;3;0;04/05/1947;;;1947;39
OGC Nice;SR Colmar;2;1;04/05/1947;;;1947;39
Nîmes Olympique;Le Mans FC;2;1;04/05/1947;;;1947;39
CA Paris;SC Toulon;3;2;04/05/1947;;;1947;39
Clermont Foot;Amiens SC;1;1;04/05/1947;;;1947;39
AS Béziers;FC Nantes;3;0;04/05/1947;;;1947;39
SA Douai;Valenciennes FC;1;0;11/05/1947;;;1947;40
Perpignan FC;Olympique d'Alès;2;5;11/05/1947;;;1947;40
SR Colmar;Besançon RC;2;2;11/05/1947;;;1947;40
SC Toulon;FC Avignon;4;1;11/05/1947;;;1947;40
Le Mans FC;FC Nantes;5;0;11/05/1947;;;1947;40
Amiens SC;Troyes ASTS;1;1;11/05/1947;;;1947;40
Nîmes Olympique;AS Béziers;3;2;11/05/1947;;;1947;40
CA Paris;Angers SCO;2;4;11/05/1947;;;1947;40
OGC Nice;FC Antibes;5;1;11/05/1947;;;1947;40
Lyon OU;FC Sochaux-Montbéliard;4;0;11/05/1947;;;1947;40
Troyes ASTS;AS Béziers;1;1;15/05/1947;;;1947;41
FC Nantes;Angers SCO;0;3;15/05/1947;;;1947;41
FC Avignon;FC Antibes;5;1;15/05/1947;;;1947;41
Olympique d'Alès;FC Sochaux-Montbéliard;5;2;15/05/1947;;;1947;41
Valenciennes FC;Clermont Foot;4;1;15/05/1947;;;1947;41
Amiens SC;Nîmes Olympique;0;0;15/05/1947;;;1947;41
Le Mans FC;CA Paris;1;4;15/05/1947;;;1947;41
SR Colmar;Angoulême;2;1;15/05/1947;;;1947;41
Perpignan FC;Lyon OU;0;4;15/05/1947;;;1947;41
SC Toulon;OGC Nice;0;1;01/06/1947;;;1947;41
Amiens SC;AS Béziers;0;0;18/05/1947;;;1947;42
