club_domicile;club_exterieur;score_domicile;score_exterieur;date;heure;groupe;saison;journee
Besançon RC;FC Nantes;2;0;18/08/1946;;;1947;1
FC Avignon;Valenciennes FC;4;2;18/08/1946;;;1947;1
Troyes ASTS;Olympique d'Alès;0;0;18/08/1946;;;1947;1
SA Douai;SC Toulon;2;1;18/08/1946;;;1947;1
Perpignan FC;Amiens SC;2;3;18/08/1946;;;1947;1
Le Mans FC;SR Colmar;2;3;18/08/1946;;;1947;1
Angers SCO;FC Sochaux-Montbéliard;0;2;18/08/1946;;;1947;1
FC Antibes;AS Béziers;2;0;18/08/1946;;;1947;1
Nîmes Olympique;OGC Nice;0;1;18/08/1946;;;1947;1
Angoulême;Clermont Foot;2;0;18/08/1946;;;1947;1
Lyon OU;CA Paris;5;2;18/08/1946;;;1947;1
Valenciennes FC;Troyes ASTS;2;2;25/08/1946;;;1947;2
Olympique d'Alès;Besançon RC;0;4;25/08/1946;;;1947;2
FC Nantes;FC Avignon;1;1;25/08/1946;;;1947;2
SR Colmar;Perpignan FC;3;2;25/08/1946;;;1947;2
SC Toulon;Le Mans FC;2;0;25/08/1946;;;1947;2
Amiens SC;SA Douai;3;2;25/08/1946;;;1947;2
AS Béziers;Angers SCO;1;3;25/08/1946;;;1947;2
Clermont Foot;Lyon OU;1;2;25/08/1946;;;1947;2
OGC Nice;Angoulême;2;2;25/08/1946;;;1947;2
CA Paris;Nîmes Olympique;1;2;25/08/1946;;;1947;2
CA Paris;OGC Nice;3;2;31/08/1946;;;1947;3
Valenciennes FC;Olympique d'Alès;7;2;01/09/1946;;;1947;3
FC Avignon;Besançon RC;2;0;01/09/1946;;;1947;3
Troyes ASTS;FC Nantes;6;1;01/09/1946;;;1947;3
SA Douai;Perpignan FC;5;0;01/09/1946;;;1947;3
SC Toulon;SR Colmar;0;0;01/09/1946;;;1947;3
Amiens SC;Le Mans FC;4;0;01/09/1946;;;1947;3
FC Antibes;Angers SCO;1;3;01/09/1946;;;1947;3
Clermont Foot;Nîmes Olympique;1;2;01/09/1946;;;1947;3
Lyon OU;Angoulême;1;0;01/09/1946;;;1947;3
Olympique d'Alès;FC Avignon;5;1;08/09/1946;;;1947;4
Besançon RC;Troyes ASTS;3;2;08/09/1946;;;1947;4
FC Nantes;Valenciennes FC;2;2;08/09/1946;;;1947;4
Perpignan FC;SC Toulon;2;2;08/09/1946;;;1947;4
SR Colmar;Amiens SC;1;1;08/09/1946;;;1947;4
Le Mans FC;SA Douai;3;3;08/09/1946;;;1947;4
FC Sochaux-Montbéliard;AS Béziers;3;3;08/09/1946;;;1947;4
Nîmes Olympique;Lyon OU;2;1;08/09/1946;;;1947;4
OGC Nice;Clermont Foot;5;4;08/09/1946;;;1947;4
Angoulême;CA Paris;1;1;08/09/1946;;;1947;4
Valenciennes FC;Nîmes Olympique;3;0;15/09/1946;;;1947;5
Olympique d'Alès;Clermont Foot;1;3;15/09/1946;;;1947;5
Besançon RC;FC Sochaux-Montbéliard;0;7;15/09/1946;;;1947;5
FC Nantes;FC Antibes;3;0;15/09/1946;;;1947;5
Troyes ASTS;Angers SCO;4;1;15/09/1946;;;1947;5
SA Douai;AS Béziers;1;1;15/09/1946;;;1947;5
SR Colmar;Lyon OU;1;1;15/09/1946;;;1947;5
SC Toulon;Angoulême;4;1;15/09/1946;;;1947;5
Le Mans FC;OGC Nice;4;2;15/09/1946;;;1947;5
Amiens SC;CA Paris;0;1;15/09/1946;;;1947;5
AS Béziers;SC Toulon;1;0;19/09/1946;;;1947;6
Angers SCO;SR Colmar;3;0;19/09/1946;;;1947;6
FC Antibes;Perpignan FC;1;3;19/09/1946;;;1947;6
FC Sochaux-Montbéliard;Troyes ASTS;5;2;19/09/1946;;;1947;6
Clermont Foot;FC Nantes;0;0;19/09/1946;;;1947;6
Nîmes Olympique;FC Avignon;0;1;19/09/1946;;;1947;6
OGC Nice;Olympique d'Alès;1;2;19/09/1946;;;1947;6
CA Paris;Besançon RC;0;0;19/09/1946;;;1947;6
Angoulême;Valenciennes FC;0;1;19/09/1946;;;1947;6
Lyon OU;Amiens SC;2;1;19/09/1946;;;1947;6
CA Paris;SR Colmar;1;1;22/09/1946;;;1947;7
AS Béziers;FC Avignon;0;3;22/09/1946;;;1947;7
Angers SCO;Besançon RC;1;0;22/09/1946;;;1947;7
FC Antibes;Olympique d'Alès;1;4;22/09/1946;;;1947;7
FC Sochaux-Montbéliard;Amiens SC;5;3;22/09/1946;;;1947;7
Clermont Foot;Le Mans FC;4;1;22/09/1946;;;1947;7
Nîmes Olympique;SC Toulon;4;1;22/09/1946;;;1947;7
OGC Nice;Perpignan FC;3;1;22/09/1946;;;1947;7
Angoulême;SA Douai;3;2;22/09/1946;;;1947;7
Lyon OU;Troyes ASTS;2;0;22/09/1946;;;1947;7
SR Colmar;FC Sochaux-Montbéliard;3;3;28/09/1946;;;1947;8
Valenciennes FC;AS Béziers;1;0;29/09/1946;;;1947;8
Besançon RC;Lyon OU;1;0;29/09/1946;;;1947;8
FC Avignon;Angoulême;0;0;29/09/1946;;;1947;8
FC Nantes;OGC Nice;0;1;29/09/1946;;;1947;8
Troyes ASTS;CA Paris;1;7;29/09/1946;;;1947;8
SA Douai;Nîmes Olympique;2;2;29/09/1946;;;1947;8
Perpignan FC;Clermont Foot;3;2;29/09/1946;;;1947;8
Le Mans FC;FC Antibes;4;1;29/09/1946;;;1947;8
Amiens SC;Angers SCO;1;4;29/09/1946;;;1947;8
AS Béziers;Angoulême;1;1;05/10/1946;;;1947;9
Valenciennes FC;Amiens SC;1;1;06/10/1946;;;1947;9
Olympique d'Alès;Le Mans FC;5;1;06/10/1946;;;1947;9
Besançon RC;Perpignan FC;4;0;06/10/1946;;;1947;9
FC Avignon;SA Douai;3;1;06/10/1946;;;1947;9
FC Nantes;SC Toulon;3;2;06/10/1946;;;1947;9
Troyes ASTS;SR Colmar;1;1;06/10/1946;;;1947;9
Angers SCO;Nîmes Olympique;3;3;06/10/1946;;;1947;9
FC Antibes;Clermont Foot;3;1;06/10/1946;;;1947;9
FC Sochaux-Montbéliard;CA Paris;6;2;06/10/1946;;;1947;9
Lyon OU;AS Béziers;4;1;12/10/1946;;;1947;10
Perpignan FC;FC Avignon;1;0;12/10/1946;;;1947;10
SA Douai;Besançon RC;1;2;13/10/1946;;;1947;10
SR Colmar;FC Nantes;0;0;13/10/1946;;;1947;10
Le Mans FC;Valenciennes FC;0;0;13/10/1946;;;1947;10
Amiens SC;Olympique d'Alès;1;4;13/10/1946;;;1947;10
Clermont Foot;Angers SCO;2;2;13/10/1946;;;1947;10
Nîmes Olympique;FC Antibes;1;1;13/10/1946;;;1947;10
OGC Nice;FC Sochaux-Montbéliard;2;2;13/10/1946;;;1947;10
SC Toulon;Troyes ASTS;0;3;17/10/1946;;;1947;10
CA Paris;Le Mans FC;3;1;20/10/1946;;;1947;11
AS Béziers;Troyes ASTS;2;1;20/10/1946;;;1947;11
Angers SCO;FC Nantes;0;1;20/10/1946;;;1947;11
FC Antibes;FC Avignon;3;1;20/10/1946;;;1947;11
FC Sochaux-Montbéliard;Olympique d'Alès;6;3;20/10/1946;;;1947;11
Clermont Foot;Valenciennes FC;1;2;20/10/1946;;;1947;11
Nîmes Olympique;Amiens SC;3;2;20/10/1946;;;1947;11
OGC Nice;SC Toulon;1;5;20/10/1946;;;1947;11
Angoulême;SR Colmar;2;1;20/10/1946;;;1947;11
Lyon OU;Perpignan FC;3;1;20/10/1946;;;1947;11
Valenciennes FC;SR Colmar;0;2;27/10/1946;;;1947;12
Olympique d'Alès;SC Toulon;3;2;27/10/1946;;;1947;12
Besançon RC;Le Mans FC;2;0;27/10/1946;;;1947;12
FC Nantes;SA Douai;3;1;27/10/1946;;;1947;12
Troyes ASTS;Perpignan FC;4;0;27/10/1946;;;1947;12
AS Béziers;CA Paris;0;1;27/10/1946;;;1947;12
Angers SCO;Lyon OU;3;0;27/10/1946;;;1947;12
FC Antibes;Angoulême;1;2;27/10/1946;;;1947;12
FC Sochaux-Montbéliard;Clermont Foot;7;0;27/10/1946;;;1947;12
FC Avignon;Amiens SC;3;1;28/10/1946;;;1947;12
Angoulême;Angers SCO;2;2;02/11/1946;;;1947;13
SA Douai;Troyes ASTS;3;4;03/11/1946;;;1947;13
Perpignan FC;FC Nantes;2;5;03/11/1946;;;1947;13
SR Colmar;Olympique d'Alès;1;1;03/11/1946;;;1947;13
SC Toulon;Valenciennes FC;2;2;03/11/1946;;;1947;13
Le Mans FC;FC Avignon;3;2;03/11/1946;;;1947;13
Amiens SC;Besançon RC;0;1;03/11/1946;;;1947;13
Nîmes Olympique;FC Sochaux-Montbéliard;2;2;03/11/1946;;;1947;13
OGC Nice;AS Béziers;4;1;03/11/1946;;;1947;13
Lyon OU;FC Antibes;3;1;03/11/1946;;;1947;13
Valenciennes FC;Besançon RC;2;1;10/11/1946;;;1947;14
FC Avignon;Troyes ASTS;3;2;10/11/1946;;;1947;14
FC Nantes;Olympique d'Alès;4;2;10/11/1946;;;1947;14
SA Douai;SR Colmar;1;0;10/11/1946;;;1947;14
SC Toulon;Amiens SC;5;1;10/11/1946;;;1947;14
Le Mans FC;Perpignan FC;4;3;10/11/1946;;;1947;14
FC Antibes;FC Sochaux-Montbéliard;0;0;10/11/1946;;;1947;14
Angoulême;Nîmes Olympique;4;2;10/11/1946;;;1947;14
CA Paris;Clermont Foot;1;1;10/11/1946;;;1947;14
OGC Nice;Lyon OU;0;1;10/11/1946;;;1947;14
CA Paris;FC Antibes;4;1;16/11/1946;;;1947;15
Olympique d'Alès;SA Douai;0;2;17/11/1946;;;1947;15
Besançon RC;SC Toulon;2;0;17/11/1946;;;1947;15
Troyes ASTS;Le Mans FC;3;0;17/11/1946;;;1947;15
SR Colmar;FC Avignon;2;1;17/11/1946;;;1947;15
Amiens SC;FC Nantes;1;4;17/11/1946;;;1947;15
AS Béziers;Clermont Foot;4;2;17/11/1946;;;1947;15
Angers SCO;OGC Nice;3;0;17/11/1946;;;1947;15
FC Sochaux-Montbéliard;Angoulême;3;1;17/11/1946;;;1947;15
Perpignan FC;Valenciennes FC;4;1;18/11/1946;;;1947;15
Perpignan FC;Angers SCO;1;3;30/11/1946;;;1947;16
Valenciennes FC;OGC Nice;3;1;01/12/1946;;;1947;16
Olympique d'Alès;CA Paris;0;1;01/12/1946;;;1947;16
Besançon RC;Nîmes Olympique;1;1;01/12/1946;;;1947;16
FC Avignon;Clermont Foot;2;2;01/12/1946;;;1947;16
FC Nantes;FC Sochaux-Montbéliard;2;2;01/12/1946;;;1947;16
SA Douai;FC Antibes;2;0;01/12/1946;;;1947;16
SR Colmar;AS Béziers;4;0;01/12/1946;;;1947;16
Le Mans FC;Lyon OU;2;1;01/12/1946;;;1947;16
Amiens SC;Angoulême;2;2;01/12/1946;;;1947;16
AS Béziers;Perpignan FC;5;1;08/12/1946;;;1947;17
Angers SCO;SA Douai;2;2;08/12/1946;;;1947;17
FC Antibes;Troyes ASTS;0;2;08/12/1946;;;1947;17
FC Sochaux-Montbéliard;FC Avignon;4;1;08/12/1946;;;1947;17
Clermont Foot;Besançon RC;1;1;08/12/1946;;;1947;17
Nîmes Olympique;Olympique d'Alès;1;1;08/12/1946;;;1947;17
CA Paris;Valenciennes FC;1;2;08/12/1946;;;1947;17
OGC Nice;Amiens SC;1;2;08/12/1946;;;1947;17
Angoulême;Le Mans FC;4;1;08/12/1946;;;1947;17
Lyon OU;SC Toulon;2;1;08/12/1946;;;1947;17
Valenciennes FC;Lyon OU;0;2;22/12/1946;;;1947;18
FC Avignon;CA Paris;3;1;22/12/1946;;;1947;18
FC Nantes;Nîmes Olympique;1;1;22/12/1946;;;1947;18
Troyes ASTS;Clermont Foot;1;1;22/12/1946;;;1947;18
SA Douai;FC Sochaux-Montbéliard;0;0;22/12/1946;;;1947;18
SR Colmar;FC Antibes;2;2;22/12/1946;;;1947;18
SC Toulon;Angers SCO;1;0;22/12/1946;;;1947;18
Le Mans FC;AS Béziers;0;1;22/12/1946;;;1947;18
Olympique d'Alès;Angoulême;3;2;01/01/1947;;;1947;18
Besançon RC;OGC Nice;3;0;16/01/1947;;;1947;18
Valenciennes FC;FC Sochaux-Montbéliard;2;2;25/12/1946;;;1947;19
Besançon RC;FC Antibes;3;0;25/12/1946;;;1947;19
FC Avignon;Angers SCO;2;1;25/12/1946;;;1947;19
SA Douai;Lyon OU;1;1;25/12/1946;;;1947;19
SR Colmar;OGC Nice;4;0;25/12/1946;;;1947;19
SC Toulon;CA Paris;3;1;25/12/1946;;;1947;19
Le Mans FC;Nîmes Olympique;2;0;25/12/1946;;;1947;19
Amiens SC;Clermont Foot;2;1;25/12/1946;;;1947;19
Perpignan FC;Angoulême;1;1;25/12/1946;;;1947;19
FC Nantes;AS Béziers;2;1;25/12/1946;;;1947;19
AS Béziers;Olympique d'Alès;1;1;29/12/1946;;;1947;20
FC Antibes;Amiens SC;1;1;29/12/1946;;;1947;20
Angers SCO;Valenciennes FC;1;1;29/12/1946;;;1947;20
FC Sochaux-Montbéliard;SC Toulon;4;1;29/12/1946;;;1947;20
Clermont Foot;SR Colmar;6;4;29/12/1946;;;1947;20
Nîmes Olympique;Perpignan FC;7;2;29/12/1946;;;1947;20
CA Paris;SA Douai;1;1;29/12/1946;;;1947;20
OGC Nice;Troyes ASTS;3;1;29/12/1946;;;1947;20
Angoulême;FC Nantes;0;0;29/12/1946;;;1947;20
Lyon OU;FC Avignon;4;0;29/12/1946;;;1947;20
Valenciennes FC;FC Antibes;3;0;12/01/1947;;;1947;21
Besançon RC;AS Béziers;3;1;12/01/1947;;;1947;21
FC Nantes;Lyon OU;1;1;12/01/1947;;;1947;21
Troyes ASTS;Angoulême;3;1;12/01/1947;;;1947;21
SA Douai;OGC Nice;1;0;12/01/1947;;;1947;21
SR Colmar;Nîmes Olympique;2;1;12/01/1947;;;1947;21
SC Toulon;Clermont Foot;1;1;12/01/1947;;;1947;21
Le Mans FC;FC Sochaux-Montbéliard;4;4;12/01/1947;;;1947;21
Perpignan FC;CA Paris;0;6;06/03/1947;;;1947;21
Olympique d'Alès;Angers SCO;2;0;17/04/1947;;;1947;21
CA Paris;FC Nantes;0;3;18/01/1947;;;1947;22
AS Béziers;Amiens SC;3;0;19/01/1947;;;1947;22
Angers SCO;Le Mans FC;1;0;19/01/1947;;;1947;22
FC Antibes;SC Toulon;2;1;19/01/1947;;;1947;22
FC Sochaux-Montbéliard;Perpignan FC;7;2;19/01/1947;;;1947;22
Clermont Foot;SA Douai;4;2;19/01/1947;;;1947;22
Nîmes Olympique;Troyes ASTS;1;1;19/01/1947;;;1947;22
OGC Nice;FC Avignon;1;1;19/01/1947;;;1947;22
Angoulême;Besançon RC;2;1;19/01/1947;;;1947;22
Lyon OU;Olympique d'Alès;1;2;19/01/1947;;;1947;22
Valenciennes FC;SA Douai;0;0;23/01/1947;;;1947;23
Olympique d'Alès;Perpignan FC;5;1;23/01/1947;;;1947;23
Besançon RC;SR Colmar;0;1;23/01/1947;;;1947;23
Angers SCO;CA Paris;2;2;23/01/1947;;;1947;23
FC Antibes;OGC Nice;1;1;23/01/1947;;;1947;23
FC Sochaux-Montbéliard;Lyon OU;3;0;23/01/1947;;;1947;23
FC Nantes;Le Mans FC;7;2;23/01/1947;;;1947;23
Troyes ASTS;Amiens SC;0;1;23/01/1947;;;1947;23
FC Avignon;SC Toulon;0;2;02/02/1947;;;1947;23
AS Béziers;Nîmes Olympique;0;2;06/02/1947;;;1947;23
OGC Nice;Le Mans FC;1;1;09/02/1947;;;1947;24
CA Paris;Amiens SC;1;2;09/02/1947;;;1947;24
